ENSG,geneSymbol,chr,tss,z,p
ENSG00000198951,NAGA,chr22,42454357,6.8143887980899205,9.466536615946806e-12
ENSG00000177096,FAM109B,chr22,42470254,6.512749638599647,7.37874399537584e-11
ENSG00000100197,CYP2D6,chr22,42522500,-6.1492344974826985,7.785779719397503e-10
ENSG00000229891,Z83851.1,chr22,42760405,6.0019391914327205,1.949747263449899e-09
ENSG00000205704,LINC00634,chr22,42348168,5.863969431307492,4.519307152547266e-09
ENSG00000183172,SMDT1,chr22,42475694,5.860708692986339,4.608958952306537e-09
ENSG00000100418,DESI1,chr22,41994031,5.852002085688215,4.8569053600992595e-09
ENSG00000159958,TNFRSF13C,chr22,42321044,-5.720473863666889,1.0622736878106348e-08
ENSG00000128268,MGAT3,chr22,39853348,-5.301740815875584,1.147036123205147e-07
ENSG00000253352,TUG1,chr22,31366662,4.839192898657892,1.3036746701264478e-06
ENSG00000205702,CYP2D7P,chr22,42536213,4.725917634631765,2.2907849479894597e-06
ENSG00000100425,BRD1,chr22,50166930,4.666731654315951,3.060285817768196e-06
ENSG00000100410,PHF5A,chr22,41855720,4.425090818783379,9.64017183716384e-06
ENSG00000167074,TEF,chr22,41763336,4.267178628125017,1.979606476146946e-05
ENSG00000099904,ZDHHC8,chr22,20116978,-4.229291890315055,2.3442802310073206e-05
ENSG00000100321,SYNGR1,chr22,39745929,-4.198387995863368,2.6882175642609656e-05
ENSG00000100038,TOP3B,chr22,22311396,4.020560832745056,5.8059753672737e-05
ENSG00000234965,SHISA8,chr22,42307296,-3.9705129431832966,7.171805966023942e-05
ENSG00000187860,CCDC157,chr22,30752623,3.956992773565733,7.589922595757848e-05
ENSG00000099995,SF3A1,chr22,30727976,3.935013512966532,8.319201531487721e-05
ENSG00000242114,MTFP1,chr22,30821517,-3.802118823482916,0.00014346388797312963
ENSG00000100271,TTLL1,chr22,43435521,-3.503982090583294,0.0004583561825263952
ENSG00000099999,RNF215,chr22,30781895,3.4669721948632404,0.0005263563348050296
ENSG00000100403,ZC3H7B,chr22,41697525,3.4210760036570123,0.0006237389847216332
ENSG00000128285,MCHR1,chr22,41074753,-3.356057923639762,0.0007906200795526633
ENSG00000100359,SGSM3,chr22,40766594,-3.3356861582448216,0.0008508916329943841
ENSG00000167037,SGSM1,chr22,25202235,-3.297242051571017,0.0009763931544344467
ENSG00000237977,EIF4HP2,chr22,31298205,3.2910409275545405,0.0009981738968195004
ENSG00000100266,PACSIN2,chr22,43231417,3.2009828264498688,0.0013695969482738547
ENSG00000100395,L3MBTL2,chr22,41601208,3.1506811540003836,0.001628902066267808
ENSG00000100330,MTMR3,chr22,30279143,3.1338286399841313,0.0017254158522508956
ENSG00000224086,LL22NC03-86G7.1,chr22,22292608,3.1100460856453243,0.001870581558729016
ENSG00000184792,OSBP2,chr22,31089768,3.0708544240752262,0.00213447191345043
ENSG00000185340,GAS2L1,chr22,29702571,2.9682428479383463,0.002995075954709886
ENSG00000133519,ZDHHC8P1,chr22,23732792,-2.9486644625891123,0.003191502764428129
ENSG00000100346,CACNA1I,chr22,39966757,2.9367864493656515,0.003316323858168089
ENSG00000242247,ARFGAP3,chr22,43231418,2.9336306950075066,0.003350225721279271
ENSG00000184117,NIPSNAP1,chr22,29950796,-2.9288271726492674,0.0034024354665049147
ENSG00000235989,MORC2-AS1,chr22,31318435,2.9082634449005127,0.0036344202442758853
ENSG00000260924,AC004463.6,chr22,19158907,-2.868402719497681,0.00412550044175641
ENSG00000197077,KIAA1671,chr22,25348696,2.8258001390368697,0.004716268067628892
ENSG00000183963,SMTN,chr22,31460090,-2.7758364677429195,0.005505989490768313
ENSG00000184208,C22orf46,chr22,42084942,2.7744066695493466,0.005530249952784856
ENSG00000079974,RABL2B,chr22,51205928,-2.7499560577389954,0.00596032570179176
ENSG00000073169,SELO,chr22,50639407,2.670820766405701,0.007566603763278058
ENSG00000100372,SLC25A17,chr22,41165633,-2.6520580251527397,0.008000279186207356
ENSG00000130540,SULT4A1,chr22,44220388,2.647481627611894,0.008109376605695153
ENSG00000100220,RTCB,chr22,32783568,2.5989045088795093,0.009352178508534344
ENSG00000183066,WBP2NL,chr22,42394728,2.5887498248289917,0.009632504710654079
ENSG00000100263,RHBDD3,chr22,29655840,-2.5754190256975016,0.010011871295990616
ENSG00000213888,AC005003.1,chr22,31742874,-2.43817277056842,0.014761716862240122
ENSG00000073146,MOV10L1,chr22,50528307,2.424674573907424,0.015322114597833338
